VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-02-01 00:15:53,2024-02-01 00:24:20,N,1.0,75,161,1.0,2.77,13.5,1.0,0.5,3.75,0.0,,1.0,22.5,1.0,1.0,2.75
2,2024-01-31 22:59:22,2024-01-31 23:27:14,N,1.0,43,242,1.0,7.76,36.6,1.0,0.5,0.0,0.0,,1.0,39.1,2.0,1.0,0.0
2,2024-02-01 00:30:29,2024-02-01 00:35:32,N,1.0,75,238,1.0,1.03,7.9,1.0,0.5,2.6,0.0,,1.0,13.0,1.0,1.0,0.0
2,2024-01-31 23:56:42,2024-02-01 00:06:53,N,1.0,80,17,2.0,1.36,11.4,1.0,0.5,4.17,0.0,,1.0,18.07,1.0,1.0,0.0
2,2024-02-01 00:31:14,2024-02-01 00:31:16,N,5.0,95,264,1.0,0.0,50.0,0.0,0.0,1.0,0.0,,1.0,52.0,1.0,2.0,0.0
2,2024-02-01 00:06:23,2024-02-01 00:10:10,N,1.0,97,25,1.0,0.34,5.1,1.0,0.5,0.0,0.0,,1.0,7.6,2.0,1.0,0.0
2,2024-02-01 00:30:22,2024-02-01 00:33:43,N,1.0,97,97,1.0,0.34,5.1,1.0,0.5,0.0,0.0,,1.0,7.6,2.0,1.0,0.0
2,2024-02-01 00:16:58,2024-02-01 00:23:25,N,1.0,25,181,1.0,1.36,9.3,1.0,0.5,2.36,0.0,,1.0,14.16,1.0,1.0,0.0
2,2024-02-01 00:00:54,2024-02-01 00:11:36,N,5.0,92,223,1.0,5.88,25.0,0.0,0.0,5.2,0.0,,1.0,31.2,1.0,2.0,0.0
2,2024-02-01 00:33:58,2024-02-01 00:55:06,N,1.0,255,48,5.0,5.1,25.4,1.0,0.5,3.76,6.94,,1.0,41.35,1.0,1.0,2.75
2,2024-02-01 00:35:46,2024-02-01 00:39:43,N,1.0,260,260,5.0,0.89,6.5,1.0,0.5,1.8,0.0,,1.0,10.8,1.0,1.0,0.0
2,2024-02-01 00:29:53,2024-02-01 00:38:19,N,1.0,74,263,1.0,2.36,12.1,1.0,0.5,2.0,0.0,,1.0,19.35,1.0,1.0,2.75
2,2024-02-01 00:42:11,2024-02-01 01:01:10,N,1.0,210,265,1.0,16.5,61.1,1.0,0.5,0.0,0.0,,1.0,63.6,2.0,1.0,0.0
1,2024-02-01 00:06:18,2024-02-01 00:14:21,N,1.0,42,244,1.0,2.6,13.5,1.0,1.5,2.0,0.0,,1.0,18.0,1.0,1.0,0.0
2,2024-02-01 00:09:27,2024-02-01 00:30:25,N,5.0,42,250,1.0,7.06,23.0,0.0,0.0,0.0,0.0,,1.0,24.0,2.0,2.0,0.0
2,2024-02-01 01:27:01,2024-02-01 01:39:48,N,1.0,202,260,1.0,3.14,17.0,1.0,0.5,0.0,0.0,,1.0,19.5,2.0,1.0,0.0
2,2024-02-01 00:31:51,2024-02-01 00:41:09,N,1.0,75,162,1.0,1.89,12.8,1.0,0.5,0.0,0.0,,1.0,18.05,2.0,1.0,2.75
2,2024-02-01 01:01:31,2024-02-01 01:04:30,N,1.0,82,129,1.0,0.58,5.1,1.0,0.5,5.0,0.0,,1.0,12.6,1.0,1.0,0.0
2,2024-02-01 01:41:34,2024-02-01 01:46:53,N,1.0,75,75,1.0,0.97,7.9,1.0,0.5,0.0,0.0,,1.0,10.4,2.0,1.0,0.0
2,2024-02-01 01:14:21,2024-02-01 01:19:49,N,1.0,95,95,1.0,0.98,7.9,1.0,0.5,0.0,0.0,,1.0,10.4,2.0,1.0,0.0
2,2024-02-01 01:28:07,2024-02-01 01:32:46,N,1.0,255,112,5.0,1.08,7.2,1.0,0.5,0.0,0.0,,1.0,9.7,2.0,1.0,0.0
2,2024-02-01 01:20:12,2024-02-01 01:25:05,N,1.0,74,75,2.0,1.12,7.9,1.0,0.5,0.0,0.0,,1.0,10.4,1.0,1.0,0.0
