VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-03-01 00:10:52,2024-03-01 00:26:12,N,1.0,129,226,1.0,1.72,12.8,1.0,0.5,3.06,0.0,,1.0,18.36,1.0,1.0,0.0
2,2024-03-01 00:22:21,2024-03-01 00:35:15,N,1.0,130,218,1.0,3.25,17.7,1.0,0.5,0.0,0.0,,1.0,20.2,2.0,1.0,0.0
2,2024-03-01 00:45:27,2024-03-01 01:04:32,N,1.0,255,107,2.0,4.58,23.3,1.0,0.5,3.5,0.0,,1.0,32.05,1.0,1.0,2.75
1,2024-03-01 00:02:00,2024-03-01 00:23:45,N,1.0,181,71,1.0,0.0,22.5,0.0,1.5,0.0,0.0,,1.0,24.0,1.0,1.0,0.0
2,2024-03-01 00:16:45,2024-03-01 00:23:25,N,1.0,95,135,1.0,1.15,8.6,1.0,0.5,1.0,0.0,,1.0,12.1,1.0,1.0,0.0
2,2024-03-01 00:41:20,2024-03-01 00:57:00,N,1.0,80,7,2.0,6.78,28.9,1.0,0.5,9.42,0.0,,1.0,40.82,1.0,1.0,0.0
2,2024-03-01 00:47:47,2024-03-01 01:00:53,N,1.0,42,233,1.0,6.19,26.1,1.0,0.5,0.0,0.0,,1.0,31.1,2.0,1.0,2.5
2,2024-03-01 00:44:48,2024-03-01 01:07:13,N,1.0,36,195,1.0,6.26,28.9,1.0,0.5,9.42,0.0,,1.0,40.82,1.0,1.0,0.0
2,2024-03-01 00:32:39,2024-03-01 00:38:57,N,1.0,75,263,1.0,0.81,7.9,1.0,0.5,0.73,0.0,,1.0,11.13,1.0,1.0,0.0
2,2024-03-01 00:07:41,2024-03-01 00:14:12,N,1.0,179,179,2.0,1.15,8.6,1.0,0.5,2.22,0.0,,1.0,13.32,1.0,1.0,0.0
2,2024-03-01 00:22:50,2024-03-01 00:27:10,N,1.0,7,7,5.0,0.76,6.5,1.0,0.5,1.8,0.0,,1.0,10.8,1.0,1.0,0.0
2,2024-03-01 00:26:48,2024-03-01 00:31:49,N,1.0,116,42,1.0,0.87,7.2,1.0,0.5,0.0,0.0,,1.0,9.7,1.0,1.0,0.0
2,2024-03-01 00:16:40,2024-03-01 00:16:45,N,5.0,134,134,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,1.0,51.0,1.0,2.0,0.0
2,2024-03-01 00:07:35,2024-03-01 00:17:48,N,1.0,92,252,1.0,3.59,17.0,1.0,0.5,0.0,0.0,,1.0,19.5,2.0,1.0,0.0
2,2024-03-01 00:57:52,2024-03-01 00:58:19,N,5.0,92,92,1.0,0.0,200.0,0.0,0.0,0.0,0.0,,1.0,201.0,2.0,2.0,0.0
2,2024-03-01 00:00:57,2024-03-01 00:08:23,N,1.0,65,181,1.0,1.3,9.3,1.0,0.5,2.36,0.0,,1.0,14.16,1.0,1.0,0.0
2,2024-03-01 00:35:09,2024-03-01 00:43:33,N,1.0,65,49,1.0,1.62,10.7,1.0,0.5,3.3,0.0,,1.0,16.5,1.0,1.0,0.0
2,2024-03-01 00:28:32,2024-03-01 00:39:13,N,1.0,181,89,1.0,2.64,14.2,1.0,0.5,3.34,0.0,,1.0,20.04,1.0,1.0,0.0
2,2024-03-01 00:19:31,2024-03-01 00:54:04,N,1.0,129,82,2.0,2.72,28.9,1.0,0.5,0.0,0.0,,1.0,31.4,2.0,1.0,0.0
