VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-01-01 00:46:55,2024-01-01 00:58:25,N,1.0,236,239,1.0,1.98,12.8,1.0,0.5,3.61,0.0,,1.0,21.66,1.0,1.0,2.75
2,2024-01-01 00:31:42,2024-01-01 00:52:34,N,1.0,65,170,5.0,6.54,30.3,1.0,0.5,7.11,0.0,,1.0,42.66,1.0,1.0,2.75
2,2024-01-01 00:30:21,2024-01-01 00:49:23,N,1.0,74,262,1.0,3.08,19.8,1.0,0.5,3.0,0.0,,1.0,28.05,1.0,1.0,2.75
1,2024-01-01 00:30:20,2024-01-01 00:42:12,N,1.0,74,116,1.0,2.4,14.2,1.0,1.5,0.0,0.0,,1.0,16.7,2.0,1.0,0.0
2,2024-01-01 00:32:38,2024-01-01 00:43:37,N,1.0,74,243,1.0,5.14,22.6,1.0,0.5,6.28,0.0,,1.0,31.38,1.0,1.0,0.0
1,2024-01-01 00:43:41,2024-01-01 01:00:23,N,1.0,33,209,1.0,2.0,17.0,3.75,1.5,2.0,0.0,,1.0,24.25,1.0,1.0,2.75
1,2024-01-01 00:31:56,2024-01-01 00:48:09,N,1.0,74,238,2.0,3.2,18.4,3.75,1.5,4.7,0.0,,1.0,28.35,1.0,1.0,2.75
2,2024-01-01 00:46:12,2024-01-01 00:57:39,N,1.0,166,239,2.0,2.01,13.5,1.0,0.5,5.62,0.0,,1.0,24.37,1.0,1.0,2.75
2,2024-01-01 00:38:07,2024-01-01 00:39:23,N,1.0,226,226,1.0,0.31,3.7,1.0,0.5,0.0,0.0,,1.0,6.2,2.0,1.0,0.0
2,2024-01-01 00:44:24,2024-01-01 00:57:47,N,1.0,7,129,1.0,2.32,14.9,1.0,0.5,3.48,0.0,,1.0,20.88,1.0,1.0,0.0
2,2024-01-01 00:18:37,2024-01-01 00:35:16,N,1.0,42,75,1.0,2.69,17.7,1.0,0.5,4.04,0.0,,1.0,24.24,1.0,1.0,0.0
2,2024-01-01 00:47:36,2024-01-01 01:07:34,N,1.0,41,141,1.0,3.73,21.2,1.0,0.5,5.29,0.0,,1.0,31.74,1.0,1.0,2.75
2,2024-01-01 00:03:57,2024-01-01 00:18:06,N,1.0,130,196,1.0,5.06,23.3,1.0,0.5,7.74,0.0,,1.0,33.54,1.0,1.0,0.0
2,2024-01-01 00:39:58,2024-01-01 00:58:09,N,1.0,74,69,1.0,2.93,19.1,1.0,0.5,4.32,0.0,,1.0,25.92,1.0,1.0,0.0
2,2024-01-01 00:18:52,2024-01-01 00:25:10,N,1.0,41,74,1.0,1.26,8.6,1.0,0.5,2.0,0.0,,1.0,13.1,1.0,1.0,0.0
2,2024-01-01 00:10:33,2024-01-01 00:22:36,N,1.0,55,210,1.0,4.09,19.1,1.0,0.5,0.0,0.0,,1.0,21.6,2.0,1.0,0.0
2,2024-01-01 00:12:54,2024-01-01 00:20:56,N,1.0,41,42,1.0,1.66,10.7,1.0,0.5,0.0,0.0,,1.0,13.2,1.0,1.0,0.0
2,2024-01-01 00:26:23,2024-01-01 00:34:53,N,1.0,42,151,1.0,1.55,10.7,1.0,0.5,1.32,0.0,,1.0,14.52,1.0,1.0,0.0
2,2024-01-01 00:41:05,2024-01-01 00:50:47,N,1.0,41,42,1.0,1.78,12.1,1.0,0.5,0.0,0.0,,1.0,14.6,2.0,1.0,0.0
2,2024-01-01 00:14:03,2024-01-01 00:19:06,N,1.0,255,255,1.0,0.26,6.5,1.0,0.5,0.0,0.0,,1.0,9.0,2.0,1.0,0.0
2,2024-01-01 00:37:47,2024-01-01 00:57:23,N,1.0,41,24,6.0,1.49,10.0,1.0,0.5,0.0,0.0,,1.0,12.5,2.0,1.0,0.0
2,2024-01-01 00:24:49,2024-01-01 00:42:14,N,1.0,255,79,3.0,3.9,20.5,1.0,0.5,5.15,0.0,,1.0,30.9,1.0,1.0,2.75
2,2024-01-01 00:18:00,2024-01-01 00:19:55,N,1.0,74,75,1.0,0.92,5.8,1.0,0.5,0.0,0.0,,1.0,8.3,2.0,1.0,0.0
2,2024-01-01 00:25:37,2024-01-02 00:19:55,N,1.0,75,262,1.0,1.5,10.0,1.0,0.5,0.0,0.0,,1.0,15.25,2.0,1.0,2.75
2,2024-01-01 00:44:45,2024-01-01 00:50:01,N,1.0,75,74,1.0,1.49,8.6,1.0,0.5,2.22,0.0,,1.0,13.32,1.0,1.0,0.0
2,2024-01-01 00:53:07,2024-01-01 01:01:44,N,1.0,41,141,1.0,2.63,13.5,1.0,0.5,3.75,0.0,,1.0,22.5,1.0,1.0,2.75
