VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-05-01 12:14:59,2024-05-01 12:33:49,N,1.0,236,236,1.0,2.45,18.4,0.0,0.5,0.01,0.0,,1.0,22.66,1.0,1.0,2.75
2,2024-05-01 12:48:32,2024-05-01 13:12:17,N,1.0,43,230,1.0,3.47,22.6,0.0,0.5,0.0,0.0,,1.0,26.85,2.0,1.0,2.75
2,2024-05-01 12:53:32,2024-05-01 12:59:53,N,1.0,7,129,5.0,1.33,8.6,0.0,0.5,2.52,0.0,,1.0,12.62,1.0,1.0,0.0
2,2024-05-01 12:42:17,2024-05-01 12:59:21,N,1.0,74,237,1.0,2.59,16.3,0.0,0.5,4.11,0.0,,1.0,24.66,1.0,1.0,2.75
2,2024-05-01 12:26:14,2024-05-01 13:03:29,N,1.0,75,179,1.0,5.37,33.8,0.0,0.5,0.0,6.94,,1.0,42.24,2.0,1.0,0.0
2,2024-05-01 12:41:39,2024-05-01 12:50:51,N,1.0,43,236,1.0,0.78,9.3,0.0,0.5,2.71,0.0,,1.0,16.26,1.0,1.0,2.75
2,2024-05-01 12:34:03,2024-05-01 12:40:17,N,1.0,75,74,1.0,0.94,7.9,0.0,0.5,0.0,0.0,,1.0,9.4,2.0,1.0,0.0
2,2024-05-01 12:47:25,2024-05-01 12:56:08,N,1.0,95,95,1.0,1.76,10.7,0.0,0.5,2.44,0.0,,1.0,14.64,1.0,1.0,0.0
1,2024-05-01 12:20:00,2024-05-01 12:54:35,N,1.0,42,45,1.0,0.0,36.5,0.0,1.5,0.0,0.0,,1.0,38.0,1.0,1.0,0.0
2,2024-05-01 12:49:51,2024-05-01 12:58:09,N,1.0,43,151,5.0,1.64,10.7,0.0,0.5,2.44,0.0,,1.0,14.64,1.0,1.0,0.0
2,2024-05-01 12:04:18,2024-05-01 12:33:58,N,1.0,74,138,1.0,6.65,37.3,5.0,0.5,0.0,6.94,,1.0,50.74,2.0,1.0,0.0
2,2024-05-01 12:17:40,2024-05-01 12:25:59,N,1.0,74,152,6.0,1.22,10.0,0.0,0.5,2.0,0.0,,1.0,13.5,1.0,1.0,0.0
2,2024-05-01 12:31:57,2024-05-01 12:36:37,N,1.0,41,41,6.0,0.46,6.5,0.0,0.5,2.0,0.0,,1.0,10.0,1.0,1.0,0.0
2,2024-05-01 12:04:41,2024-05-01 12:36:09,N,1.0,75,231,1.0,8.18,39.4,0.0,0.5,3.0,0.0,,1.0,46.65,1.0,1.0,2.75
1,2024-05-01 12:59:25,2024-05-01 13:17:17,N,1.0,43,237,1.0,2.1,14.9,2.75,1.5,2.0,0.0,,1.0,21.15,1.0,1.0,2.75
