VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-06-01 00:30:14,2024-06-01 00:40:57,N,1.0,74,247,1.0,1.76,12.1,1.0,0.5,2.92,0.0,,1.0,17.52,1.0,1.0,0.0
2,2024-06-01 00:04:36,2024-06-01 00:11:32,N,1.0,83,83,1.0,1.36,8.6,1.0,0.5,1.0,0.0,,1.0,12.1,1.0,1.0,0.0
1,2024-06-01 00:19:43,2024-06-01 00:38:48,N,1.0,255,113,1.0,3.0,19.1,3.75,1.5,4.85,0.0,,1.0,29.2,1.0,1.0,2.75
2,2024-06-01 00:30:55,2024-06-01 00:43:45,N,1.0,66,189,1.0,2.99,16.3,1.0,0.5,0.0,0.0,,1.0,18.8,1.0,1.0,0.0
2,2024-05-31 23:12:48,2024-05-31 23:33:32,N,1.0,75,18,1.0,6.45,30.3,1.0,0.5,6.56,0.0,,1.0,39.36,1.0,1.0,0.0
2,2024-06-01 00:29:49,2024-06-01 00:37:40,N,1.0,92,171,1.0,0.49,8.6,1.0,0.5,0.0,0.0,,1.0,11.1,2.0,1.0,0.0
2,2024-06-01 00:38:56,2024-06-01 00:39:10,N,5.0,171,171,1.0,0.0,45.0,0.0,0.0,13.8,0.0,,1.0,59.8,1.0,2.0,0.0
2,2024-06-01 00:19:22,2024-06-01 00:35:03,N,1.0,243,265,1.0,8.65,34.5,1.0,0.5,2.8,3.18,,1.0,42.98,1.0,1.0,0.0
2,2024-06-01 00:16:25,2024-06-01 00:28:09,N,1.0,66,97,1.0,2.09,13.5,1.0,0.5,3.2,0.0,,1.0,19.2,1.0,1.0,0.0
2,2024-06-01 00:14:34,2024-06-01 01:01:03,N,1.0,255,163,2.0,7.39,42.9,1.0,0.5,11.02,6.94,,1.0,66.11,1.0,1.0,2.75
2,2024-06-01 00:41:22,2024-06-01 00:45:53,N,1.0,134,134,1.0,0.99,7.2,1.0,0.5,2.91,0.0,,1.0,12.61,1.0,1.0,0.0
1,2024-06-01 00:28:00,2024-06-01 00:38:22,N,1.0,255,256,1.0,0.8,8.6,1.0,1.5,3.0,0.0,,1.0,14.1,1.0,1.0,0.0
1,2024-06-01 00:45:47,2024-06-01 00:59:40,N,1.0,255,33,1.0,5.9,24.7,1.0,1.5,4.5,0.0,,1.0,31.7,1.0,1.0,0.0
2,2024-06-01 00:45:15,2024-06-01 00:51:29,N,1.0,95,28,1.0,1.55,9.3,1.0,0.5,2.95,0.0,,1.0,14.75,1.0,1.0,0.0
2,2024-06-01 00:41:57,2024-06-01 01:06:43,N,1.0,166,100,1.0,9.66,43.6,1.0,0.5,0.0,0.0,,1.0,48.85,1.0,1.0,2.75
2,2024-06-01 00:56:04,2024-06-01 01:04:56,N,1.0,129,129,1.0,1.11,10.0,1.0,0.5,0.0,0.0,,1.0,12.5,2.0,1.0,0.0
2,2024-06-01 00:01:51,2024-06-01 00:21:16,N,1.0,260,196,1.0,3.02,19.1,1.0,0.5,0.0,0.0,,1.0,21.6,2.0,1.0,0.0
2,2024-06-01 00:02:00,2024-06-01 00:08:36,N,1.0,166,238,1.0,1.26,9.3,1.0,0.5,2.86,0.0,,1.0,17.16,1.0,1.0,2.5
